pickup_datetime,dropoff_datetime,trip_distance,passenger_count,payment_amount,duration
1/01/16 0:14,1/01/16 0:27,2.51,1,12.3,13
1/01/16 0:15,1/01/16 0:28,1.83,1,11.8,13
1/01/16 0:15,1/01/16 0:25,3.61,1,14.3,10
1/01/16 0:15,1/01/16 0:39,2,1,17.8,24
1/01/16 0:15,1/01/16 0:19,0.7,4,6.3,4
1/01/16 0:16,1/01/16 0:37,10.1,1,31.8,21
1/01/16 0:16,1/01/16 0:35,4.4,3,19.75,19
1/01/16 0:17,1/01/16 0:27,2.4,1,14.65,10
1/01/16 0:17,1/01/16 0:43,2.83,1,20.3,26
1/01/16 0:17,1/01/16 0:26,1,1,8.8,9
1/01/16 0:17,1/01/16 0:29,4.9,2,17.3,12
1/01/16 0:18,1/01/16 0:23,0.97,2,8.76,5
1/01/16 0:18,1/01/16 0:53,5.91,1,22.3,35
1/01/16 0:18,1/01/16 0:24,1.3,1,7.8,6
1/01/16 0:18,1/01/16 0:36,3.6,1,16.3,18
1/01/16 0:19,1/01/16 0:29,2.1,1,12.95,10
1/01/16 0:19,1/01/16 0:27,1.26,1,8.8,8
1/01/16 0:19,1/01/16 0:38,2,1,13.8,19
1/01/16 0:19,1/01/16 0:31,1.7,1,13.5,12
1/01/16 0:19,1/01/16 0:30,1.43,2,11.76,11
1/01/16 0:20,1/01/16 0:25,1.1,1,7.3,5
1/01/16 0:20,1/01/16 0:53,3.6,4,22.3,33
1/01/16 0:20,1/01/16 0:34,1.5,1,11.3,14
1/01/16 0:21,1/01/16 0:28,1.6,2,9.3,7
1/01/16 0:21,1/01/16 0:58,17.3,1,90.3,37
1/01/16 0:21,1/01/16 0:35,5.2,1,21.05,14
1/01/16 0:21,1/01/16 0:32,2.7,1,16.6,11
1/01/16 0:21,1/01/16 0:29,1.9,1,11.15,8
1/01/16 0:22,1/01/16 0:48,5.92,1,42.8,26
1/01/16 0:22,1/01/16 1:06,6.77,1,37.56,44
1/01/16 0:22,1/01/16 0:31,1.13,1,8.8,9
1/01/16 0:22,1/01/16 0:46,3.36,3,21.96,24
1/01/16 0:23,1/01/16 0:27,1.9,1,11.4,4
1/01/16 0:23,1/01/16 0:33,1.7,4,10.3,10
1/01/16 0:23,1/01/16 0:27,1.14,3,8.84,4
1/01/16 0:23,1/01/16 0:49,1.51,2,16.8,26
1/01/16 0:24,1/01/16 0:35,1.7,3,12.95,11
1/01/16 0:24,1/01/16 0:32,2.82,3,11.8,8
1/01/16 0:24,1/01/16 0:37,3.09,1,13.8,13
1/01/16 0:25,1/01/16 0:46,7.7,1,30.35,21
1/01/16 0:25,1/01/16 0:32,1.2,1,9.95,7
1/01/16 0:25,1/01/16 0:46,2.9,1,19.55,21
1/01/16 0:25,1/01/16 0:35,1.9,1,12.35,10
1/01/16 0:25,1/01/16 0:44,4.1,2,18.3,19
1/01/16 0:26,1/01/16 0:39,3.23,1,15.96,13
1/01/16 0:26,1/01/16 0:40,2.4,1,15.36,14
1/01/16 0:27,1/01/16 0:31,1.4,1,7.3,4
1/01/16 0:27,1/01/16 0:38,2.07,1,11.8,11
1/01/16 0:27,1/01/16 0:35,1.25,1,8.8,8
1/01/16 0:27,1/01/16 0:37,2.4,1,12,10
1/01/16 0:28,1/01/16 0:35,1.6,1,10.55,7
1/01/16 0:28,1/01/16 0:53,2.12,2,19.8,25
1/01/16 0:28,1/01/16 0:41,3.8,2,15.8,13
1/01/16 0:28,1/01/16 0:51,5.4,1,21.3,23
1/01/16 0:28,1/01/16 0:34,0.53,2,7.56,6
1/01/16 0:29,1/01/16 0:48,1.9,1,13.8,19
1/01/16 0:29,1/01/16 0:44,2.19,1,15.36,15
1/01/16 0:29,1/01/16 0:35,1.7,1,8.3,6
1/01/16 0:29,1/01/16 0:36,1.24,1,8.3,7
1/01/16 0:30,1/01/16 1:05,4.47,2,27.8,35
1/01/16 0:30,1/01/16 0:55,7.22,1,25.3,25
1/01/16 0:30,1/01/16 0:50,2.6,1,14.8,20
1/01/16 0:30,1/01/16 0:46,2.69,2,13.3,16
1/01/16 0:31,1/01/16 0:37,0.98,1,7.3,6
1/01/16 0:31,1/01/16 1:00,5.3,1,22.8,29
1/01/16 0:31,1/01/16 0:42,2.5,1,13.3,11
1/01/16 0:32,1/01/16 0:42,0.96,3,9.3,10
1/01/16 0:32,1/01/16 0:47,2.04,2,12.8,15
1/01/16 0:32,1/01/16 1:08,5.54,1,32.25,36
1/01/16 0:32,1/01/16 0:38,1.3,1,7.8,6
1/01/16 0:33,1/01/16 0:38,0.7,1,6.3,5
1/01/16 0:33,1/01/16 1:07,8.12,1,38.74,34
1/01/16 0:33,1/01/16 0:47,3.4,1,15.8,14
1/01/16 0:33,1/01/16 0:49,6.21,1,21.3,16
1/01/16 0:33,1/01/16 0:54,2.9,1,18.96,21
1/01/16 0:34,1/01/16 0:43,2.6,2,11.3,9
1/01/16 0:34,1/01/16 0:45,2.7,1,11.8,11
1/01/16 0:34,1/01/16 0:56,4.9,1,26,22
1/01/16 0:35,1/01/16 0:47,2.2,1,11.3,12
1/01/16 0:35,1/01/16 0:59,5.6,3,26.75,24
1/01/16 0:35,1/01/16 0:52,1.3,1,12.8,17
1/01/16 0:35,1/01/16 1:00,2.4,2,20.15,25
1/01/16 0:36,1/01/16 0:51,3.3,1,17.75,15
1/01/16 0:36,1/01/16 0:55,3.29,1,19.56,19
1/01/16 0:36,1/01/16 0:46,1.9,1,11.76,10
1/01/16 0:37,1/01/16 0:57,3.9,1,20.75,20
1/01/16 0:37,1/01/16 0:54,3.23,1,15.8,17
1/01/16 0:37,1/01/16 0:41,0.78,1,6.3,4
1/01/16 0:37,1/01/16 0:56,2.92,1,15.3,19
1/01/16 0:37,1/01/16 0:44,1.1,1,7.8,7
1/01/16 0:38,1/01/16 0:45,1.5,2,9.95,7
1/01/16 0:38,1/01/16 0:54,2.87,1,16.56,16
1/01/16 0:38,1/01/16 1:04,3.9,1,23.75,26
1/01/16 0:39,1/01/16 1:09,2.9,2,27.04,30
1/01/16 0:39,1/01/16 0:46,0.8,2,9.75,7
1/01/16 0:39,1/01/16 0:50,2.03,1,11.3,11
1/01/16 0:39,1/01/16 1:04,4.86,3,25.56,25
1/01/16 0:40,1/01/16 0:54,2.8,2,15.36,14
1/01/16 0:40,1/01/16 0:59,7.6,1,29.75,19
1/01/16 0:40,1/01/16 0:58,2.05,1,13.8,18
1/01/16 0:41,1/01/16 0:48,1.5,4,8.8,7
1/01/16 0:41,1/01/16 0:47,0.9,1,8.45,6
1/01/16 0:41,1/01/16 0:50,0.8,2,8.3,9
1/01/16 0:42,1/01/16 1:06,5.27,1,25.56,24
1/01/16 0:42,1/01/16 1:01,4,1,21,19
1/01/16 0:42,1/01/16 1:07,8.91,2,35.16,25
1/01/16 0:42,1/01/16 0:55,2.3,4,12.3,13
1/01/16 0:42,1/01/16 0:55,4.24,1,18.36,13
1/01/16 0:43,1/01/16 0:53,1.9,1,12.36,10
1/01/16 0:43,1/01/16 1:02,4.97,1,18.8,19
1/01/16 0:43,1/01/16 0:49,1.6,1,10.35,6
1/01/16 0:44,1/01/16 0:55,1.61,2,12.36,11
1/01/16 0:44,1/01/16 1:01,3.96,2,19.56,17
1/01/16 0:44,1/01/16 1:02,7.5,1,24.3,18
1/01/16 0:44,1/01/16 0:51,1.21,2,8.8,7
1/01/16 0:44,1/01/16 0:57,2.92,2,12.8,13
1/01/16 0:45,1/01/16 0:53,1.77,1,9.3,8
1/01/16 0:45,1/01/16 0:52,3.15,1,13.3,7
1/01/16 0:45,1/01/16 0:58,3,1,13.8,13
1/01/16 0:45,1/01/16 1:25,6.3,2,34.56,40
1/01/16 0:46,1/01/16 1:10,6.34,1,23.3,24
1/01/16 0:46,1/01/16 0:58,3.45,2,15.8,12
1/01/16 0:46,1/01/16 0:51,1.7,1,8.3,5
1/01/16 0:46,1/01/16 0:55,2.2,1,10.3,9
1/01/16 0:47,1/01/16 1:01,2.79,1,13.8,14
1/01/16 0:47,1/01/16 1:15,23.76,1,90.34,28
1/01/16 0:47,1/01/16 1:10,3.91,1,23.84,23
1/01/16 0:48,1/01/16 1:10,2.4,2,16.3,22
1/01/16 0:48,1/01/16 0:56,1.02,2,8.3,8
1/01/16 0:48,1/01/16 0:56,0.92,1,8.3,8
1/01/16 0:48,1/01/16 0:55,1.36,1,10.79,7
1/01/16 0:49,1/01/16 1:07,2.86,1,14.8,18
1/01/16 0:49,1/01/16 0:53,0.6,1,7.55,4
1/01/16 0:49,1/01/16 0:56,2.3,4,12.35,7
1/01/16 0:49,1/01/16 0:58,1.1,1,8.3,9
1/01/16 0:49,1/01/16 0:55,1,1,8.75,6
1/01/16 0:50,1/01/16 1:01,1.6,2,11.8,11
1/01/16 0:50,1/01/16 1:22,8.14,2,34.8,32
1/01/16 0:50,1/01/16 1:03,2.8,1,13.3,13
1/01/16 0:50,1/01/16 1:07,3.8,1,18.95,17
1/01/16 0:51,1/01/16 1:09,4.28,1,17.8,18
1/01/16 0:51,1/01/16 1:02,1.21,4,9.8,11
1/01/16 0:51,1/01/16 1:09,8.28,4,26.3,18
1/01/16 0:52,1/01/16 1:10,4.12,1,17.8,18
1/01/16 0:52,1/01/16 1:06,2.7,1,13.8,14
1/01/16 0:52,1/01/16 0:56,0.7,1,6.95,4
1/01/16 0:53,1/01/16 1:10,2.13,2,13.8,17
1/01/16 0:53,1/01/16 1:16,7.1,2,30.35,23
1/01/16 0:53,1/01/16 1:00,1.1,1,9.36,7
1/01/16 0:53,1/01/16 1:19,3.22,2,18.3,26
1/01/16 0:54,1/01/16 1:27,6.9,1,36.75,33
1/01/16 0:54,1/01/16 1:06,1.8,1,11.3,12
1/01/16 0:54,1/01/16 1:08,2.3,1,14.15,14
1/01/16 0:55,1/01/16 1:08,2.2,1,11.8,13
1/01/16 0:55,1/01/16 1:02,0.6,2,7.35,7
1/01/16 0:55,1/01/16 1:14,4.01,2,18.3,19
1/01/16 0:55,1/01/16 1:15,3.4,2,16.8,20
1/01/16 0:56,1/01/16 1:05,2.61,1,13.56,9
1/01/16 0:56,1/01/16 1:19,2.95,1,17.3,23
1/01/16 0:57,1/01/16 1:06,1.8,1,11.75,9
1/01/16 0:57,1/01/16 1:06,1.3,2,12.05,9
1/01/16 0:57,1/01/16 1:11,1.58,1,11.3,14
1/01/16 0:57,1/01/16 1:04,1.4,1,8.3,7
1/01/16 0:58,1/01/16 1:26,5.1,3,22.3,28
1/01/16 0:58,1/01/16 1:09,3,1,15.35,11
1/01/16 0:58,1/01/16 1:04,1.3,1,7.8,6
1/01/16 0:59,1/01/16 1:10,0.78,1,9.3,11
1/01/16 0:59,1/01/16 1:25,4.7,1,27.35,26
1/01/16 0:59,1/01/16 1:30,2.86,1,20.3,31
1/01/16 0:59,1/01/16 1:11,3.2,1,15.95,12
1/01/16 1:00,1/01/16 1:05,1.08,3,8.76,5
1/01/16 1:00,1/01/16 1:17,3.11,1,17.76,17
1/01/16 1:00,1/01/16 1:16,2.52,3,13.3,16
1/01/16 1:00,1/01/16 1:08,1.26,1,8.3,8
1/01/16 1:01,1/01/16 1:08,1.48,2,10.38,7
1/01/16 1:01,1/01/16 1:06,0.82,1,6.8,5
1/01/16 1:02,1/01/16 1:07,1.17,3,7.3,5
1/01/16 1:02,1/01/16 1:11,1.75,2,11.76,9
1/01/16 1:02,1/01/16 1:09,1.6,2,8.3,7
1/01/16 1:02,1/01/16 1:20,5.49,2,19.8,18
1/01/16 1:02,1/01/16 1:18,2.7,2,13.8,16
1/01/16 1:03,1/01/16 1:10,1.15,3,7.8,7
1/01/16 1:03,1/01/16 1:10,1.11,1,7.8,7
1/01/16 1:03,1/01/16 1:10,1.1,1,7.8,7
1/01/16 1:03,1/01/16 1:24,2.3,1,15.8,21
1/01/16 1:04,1/01/16 1:28,5.42,3,72.8,24
1/01/16 1:04,1/01/16 1:08,0.88,2,6.8,4
1/01/16 1:04,1/01/16 1:21,4.4,3,18.3,17
1/01/16 1:05,1/01/16 1:15,4.82,1,20.16,10
1/01/16 1:05,1/01/16 1:25,5.4,3,20.3,20
1/01/16 1:05,1/01/16 1:18,1.46,1,10.8,13
1/01/16 1:06,1/01/16 1:26,3.6,1,16.8,20
1/01/16 1:06,1/01/16 1:19,3.44,1,16.56,13
1/01/16 1:06,1/01/16 1:32,2.2,1,19,26
1/01/16 1:06,1/01/16 1:12,0.63,1,8.16,6
1/01/16 1:06,1/01/16 1:20,2.89,1,14.3,14
1/01/16 1:07,1/01/16 1:20,2.2,1,13,13
1/01/16 1:07,1/01/16 1:16,2.4,1,12.36,9
1/01/16 1:07,1/01/16 1:39,8.2,3,35.15,32
1/01/16 1:07,1/01/16 1:16,1.64,1,10.9,9
1/01/16 1:08,1/01/16 1:16,0.8,2,10.3,8
1/01/16 1:08,1/01/16 1:13,1.08,1,6.8,5
1/01/16 1:08,1/01/16 1:22,4.67,1,18.8,14
1/01/16 1:08,1/01/16 1:35,3.5,2,26,27
1/01/16 1:08,1/01/16 1:14,1.1,2,7.3,6
1/01/16 1:09,1/01/16 1:15,2.27,1,14.3,6
1/01/16 1:09,1/01/16 1:21,1.9,1,13.55,12
1/01/16 1:09,1/01/16 1:28,8.6,1,32.84,19
1/01/16 1:09,1/01/16 1:22,2.8,1,12.8,13
1/01/16 1:10,1/01/16 1:20,1.9,2,11.3,10
1/01/16 1:10,1/01/16 1:37,8.4,1,33.95,27
1/01/16 1:10,1/01/16 1:17,1.42,2,8.3,7
1/01/16 1:10,1/01/16 1:27,3.9,2,19.75,17
1/01/16 1:11,1/01/16 1:17,1.4,3,9.55,6
1/01/16 1:11,1/01/16 1:26,2.51,1,15.96,15
1/01/16 1:11,1/01/16 1:54,9,1,40.8,43
1/01/16 1:12,1/01/16 1:21,1.3,2,12.3,9
1/01/16 1:12,1/01/16 1:21,1.7,1,9.8,9
1/01/16 1:12,1/01/16 1:28,3.55,2,16.3,16
1/01/16 1:12,1/01/16 1:38,12.9,1,47.25,26
1/01/16 1:12,1/01/16 1:17,1,2,8.5,5
1/01/16 1:13,1/01/16 1:20,1.01,1,9.36,7
1/01/16 1:13,1/01/16 1:20,1.1,1,9.95,7
1/01/16 1:13,1/01/16 1:29,4.08,1,19.56,16
1/01/16 1:13,1/01/16 1:41,1.74,1,17.8,28
1/01/16 1:14,1/01/16 1:32,2.9,2,17.75,18
1/01/16 1:14,1/01/16 1:28,4.2,2,15.8,14
1/01/16 1:14,1/01/16 1:23,1.6,1,9.8,9
1/01/16 1:14,1/01/16 1:34,4.71,1,18.8,20
1/01/16 1:15,1/01/16 1:25,1,1,9.3,10
1/01/16 1:15,1/01/16 1:28,2.6,2,15.8,13
1/01/16 1:15,1/01/16 1:29,3.69,1,17.76,14
1/01/16 1:15,1/01/16 1:23,1.75,3,11.16,8
1/01/16 1:15,1/01/16 1:30,2.69,1,17.25,15
1/01/16 1:16,1/01/16 1:28,2.34,1,14.75,12
1/01/16 1:16,1/01/16 1:31,4.01,2,15.3,15
1/01/16 1:16,1/01/16 1:42,5.1,2,24,26
1/01/16 1:16,1/01/16 1:22,0.7,1,8.15,6
1/01/16 1:16,1/01/16 1:51,7.2,3,27.8,35
1/01/16 1:17,1/01/16 1:30,2.76,1,12.8,13
1/01/16 1:17,1/01/16 1:21,1,1,6.8,4
1/01/16 1:17,1/01/16 1:31,3.54,1,17.8,14
1/01/16 1:17,1/01/16 1:26,1.3,1,11.15,9
1/01/16 1:17,1/01/16 1:30,2,3,11.8,13
1/01/16 1:18,1/01/16 1:28,0.9,2,11.15,10
1/01/16 1:18,1/01/16 1:36,6.94,1,27.36,18
1/01/16 1:18,1/01/16 1:25,1.07,4,7.3,7
1/01/16 1:18,1/01/16 1:49,6.43,1,30.96,31
1/01/16 1:19,1/01/16 1:27,1,3,8.8,8
1/01/16 1:19,1/01/16 1:32,1.9,2,14.15,13
1/01/16 1:19,1/01/16 1:50,6.5,3,26.8,31
1/01/16 1:19,1/01/16 1:32,2.9,1,13.8,13
1/01/16 1:19,1/01/16 1:37,3.03,1,14.8,18
1/01/16 1:20,1/01/16 1:30,1.45,2,12.25,10
1/01/16 1:20,1/01/16 1:33,2.8,3,15.36,13
1/01/16 1:20,1/01/16 1:27,1.2,2,8.3,7
1/01/16 1:20,1/01/16 1:31,1.2,1,11.3,11
1/01/16 1:21,1/01/16 2:07,11.4,1,40.8,46
1/01/16 1:21,1/01/16 1:48,6.19,3,26.8,27
1/01/16 1:21,1/01/16 1:29,1.4,2,10.55,8
1/01/16 1:21,1/01/16 1:25,0.55,1,6.96,4
1/01/16 1:22,1/01/16 1:26,1,1,6.8,4
1/01/16 1:22,1/01/16 1:35,1.4,2,12.96,13
1/01/16 1:22,1/01/16 1:26,0.57,1,6.96,4
1/01/16 1:23,1/01/16 1:27,0.8,1,6.3,4
1/01/16 1:23,1/01/16 1:37,2.41,1,15.99,14
1/01/16 1:23,1/01/16 1:35,2.23,1,11.8,12
1/01/16 1:23,1/01/16 1:45,5.2,4,26.15,22
1/01/16 1:24,1/01/16 1:28,0.91,1,6.8,4
1/01/16 1:24,1/01/16 1:30,1.2,1,7.8,6
1/01/16 1:24,1/01/16 1:29,0.98,1,8.16,5
1/01/16 1:24,1/01/16 1:33,2,1,12.25,9
1/01/16 1:25,1/01/16 1:31,0.84,1,7.3,6
1/01/16 1:25,1/01/16 1:42,4.9,1,18.3,17
1/01/16 1:25,1/01/16 1:31,1.09,1,6.8,6
1/01/16 1:25,1/01/16 1:32,1.4,1,9.35,7
1/01/16 1:25,1/01/16 1:39,3.01,1,15.3,14
1/01/16 1:26,1/01/16 1:32,1.3,1,9.35,6
1/01/16 1:26,1/01/16 1:34,2,1,9.8,8
1/01/16 1:26,1/01/16 1:34,1.97,1,9.3,8
1/01/16 1:26,1/01/16 1:44,3.1,2,15.8,18
1/01/16 1:26,1/01/16 1:50,9.6,1,30.3,24
1/01/16 1:27,1/01/16 1:37,2,2,13.55,10
1/01/16 1:27,1/01/16 1:35,1.57,2,11.16,8
1/01/16 1:27,1/01/16 1:47,2.5,1,15.3,20
1/01/16 1:27,1/01/16 1:47,3.61,1,19.56,20
1/01/16 1:27,1/01/16 1:37,2.69,1,11.3,10
1/01/16 1:28,1/01/16 1:47,1.5,2,15.95,19
1/01/16 1:28,1/01/16 1:32,1.1,1,6.8,4
1/01/16 1:28,1/01/16 1:40,0.94,1,11.76,12
1/01/16 1:28,1/01/16 1:34,1.34,1,9.75,6
1/01/16 1:29,1/01/16 1:37,2.08,1,12.88,8
1/01/16 1:29,1/01/16 1:54,5.11,1,22.3,25
1/01/16 1:30,1/01/16 1:42,1.01,1,10.8,12
1/01/16 1:30,1/01/16 2:10,9,1,34.3,40
1/01/16 1:30,1/01/16 1:44,3,1,17.85,14
1/01/16 1:30,1/01/16 1:38,1.5,1,8.8,8
1/01/16 1:31,1/01/16 1:50,3.4,1,16.8,19
1/01/16 1:31,1/01/16 1:36,0.71,2,7.3,5
1/01/16 1:31,1/01/16 1:37,1.6,2,10.35,6
1/01/16 1:31,1/01/16 1:45,1.6,1,14.65,14
1/01/16 1:32,1/01/16 2:21,13.1,1,46.87,49
1/01/16 1:32,1/01/16 1:47,4.94,1,18.3,15
1/01/16 1:32,1/01/16 1:41,1.93,4,11.8,9
1/01/16 1:32,1/01/16 1:40,1.3,2,9.8,8
1/01/16 1:32,1/01/16 2:00,12.51,1,38.3,28
1/01/16 1:33,1/01/16 1:39,1.43,1,9.36,6
1/01/16 1:33,1/01/16 2:01,4.6,1,22.8,28
1/01/16 1:33,1/01/16 1:57,9.15,1,32.8,24
1/01/16 1:34,1/01/16 2:02,5.6,1,22.8,28
1/01/16 1:34,1/01/16 1:50,1.66,2,12.8,16
1/01/16 1:34,1/01/16 1:42,0.97,1,7.8,8
1/01/16 1:34,1/01/16 1:40,1.27,1,9.36,6
1/01/16 1:35,1/01/16 1:55,3.08,3,16.3,20
1/01/16 1:35,1/01/16 1:46,1.6,1,10.3,11
1/01/16 1:35,1/01/16 1:46,2.28,2,14.12,11
1/01/16 1:35,1/01/16 1:51,4.3,1,20.75,16
1/01/16 1:36,1/01/16 2:03,9.4,2,37.3,27
1/01/16 1:36,1/01/16 1:52,3.7,2,16.3,16
1/01/16 1:36,1/01/16 1:54,4.3,1,21.35,18
1/01/16 1:36,1/01/16 2:06,2.9,2,19.8,30
1/01/16 1:36,1/01/16 1:56,4.03,1,18.8,20
1/01/16 1:37,1/01/16 1:54,4.1,1,20.15,17
1/01/16 1:37,1/01/16 1:53,4.23,1,20.16,16
1/01/16 1:37,1/01/16 1:57,2.6,4,16.8,20
1/01/16 1:37,1/01/16 1:57,4.89,2,19.8,20
1/01/16 1:38,1/01/16 1:59,3.57,3,21.62,21
1/01/16 1:38,1/01/16 1:42,1,1,6.8,4
1/01/16 1:38,1/01/16 1:46,1.7,1,9.8,8
1/01/16 1:39,1/01/16 1:43,1,1,7.3,4
1/01/16 1:39,1/01/16 1:45,0.81,2,7.3,6
1/01/16 1:39,1/01/16 1:54,2.7,2,13.3,15
1/01/16 1:39,1/01/16 1:53,2,1,12.8,14
1/01/16 1:39,1/01/16 2:05,3.9,1,23.75,26
1/01/16 1:40,1/01/16 2:02,6.34,1,23.3,22
1/01/16 1:40,1/01/16 2:07,5.52,1,25.5,27
1/01/16 1:40,1/01/16 2:05,5.26,1,21.8,25
1/01/16 1:40,1/01/16 1:49,0.9,1,9.95,9
1/01/16 1:40,1/01/16 2:04,8.22,2,27.8,24
1/01/16 1:41,1/01/16 2:01,4.9,1,19.3,20
1/01/16 1:41,1/01/16 1:58,3.5,1,19.55,17
1/01/16 1:41,1/01/16 2:04,6.55,1,28.84,23
1/01/16 1:42,1/01/16 2:15,5.86,2,31.56,33
1/01/16 1:42,1/01/16 1:53,1.78,2,12.96,11
1/01/16 1:42,1/01/16 1:55,3,2,13.3,13
1/01/16 1:42,1/01/16 1:53,1.7,4,10.8,11
1/01/16 1:42,1/01/16 1:50,1.98,1,13.39,8
1/01/16 1:42,1/01/16 2:12,6.2,1,29.75,30
1/01/16 1:43,1/01/16 1:52,1.96,2,11.9,9
1/01/16 1:43,1/01/16 1:56,2.2,1,11.82,13
1/01/16 1:43,1/01/16 1:52,1,2,10.75,9
1/01/16 1:44,1/01/16 1:57,3.28,2,13.8,13
1/01/16 1:44,1/01/16 1:48,1.31,1,7.3,4
1/01/16 1:44,1/01/16 1:49,1.2,1,7.3,5
1/01/16 1:44,1/01/16 2:05,7.2,1,29.84,21
1/01/16 1:44,1/01/16 1:51,1.3,2,8.3,7
1/01/16 1:45,1/01/16 2:14,5,1,23.3,29
1/01/16 1:45,1/01/16 2:13,6.4,1,29.15,28
1/01/16 1:45,1/01/16 2:07,1.6,1,21.8,22
1/01/16 1:45,1/01/16 2:07,5.69,3,20.8,22
1/01/16 1:46,1/01/16 1:53,1.6,4,8.8,7
1/01/16 1:46,1/01/16 2:02,3.1,2,16.3,16
1/01/16 1:46,1/01/16 2:03,2.95,1,17.16,17
1/01/16 1:46,1/01/16 2:06,10.43,4,36.3,20
1/01/16 1:46,1/01/16 2:03,3.9,1,15.31,17
1/01/16 1:47,1/01/16 1:58,2.58,1,14,11
1/01/16 1:47,1/01/16 1:52,0.7,1,7.3,5
1/01/16 1:47,1/01/16 2:04,4.1,1,17.31,17
1/01/16 1:47,1/01/16 1:51,0.9,1,6.3,4
1/01/16 1:48,1/01/16 1:52,0.6,1,6.96,4
1/01/16 1:48,1/01/16 2:16,10.24,1,34.8,28
1/01/16 1:48,1/01/16 1:58,2.3,3,12.3,10
1/01/16 1:48,1/01/16 2:01,3.4,1,13.8,13
1/01/16 1:49,1/01/16 2:10,9.47,3,36.36,21
1/01/16 1:49,1/01/16 2:08,3.33,1,15.8,19
1/01/16 1:49,1/01/16 2:07,6.19,1,26.62,18
1/01/16 1:49,1/01/16 2:02,3.8,1,14.3,13
1/01/16 1:49,1/01/16 1:54,0.9,2,6.8,5
1/01/16 1:50,1/01/16 2:20,13.54,1,93.3,30
1/01/16 1:50,1/01/16 2:16,4.1,1,20.3,26
1/01/16 1:50,1/01/16 2:14,6.24,2,24.5,24
1/01/16 1:50,1/01/16 2:10,3.7,1,16.8,20
1/01/16 1:51,1/01/16 2:24,8.8,2,31.3,33
1/01/16 1:51,1/01/16 2:13,3.2,1,20.15,22
1/01/16 1:51,1/01/16 2:10,4.47,2,22.56,19
1/01/16 1:51,1/01/16 2:12,6,1,21.3,21
1/01/16 1:51,1/01/16 1:56,0.9,1,6.8,5
1/01/16 1:52,1/01/16 2:07,5.54,1,21.8,15
1/01/16 1:52,1/01/16 1:57,1.71,2,10.38,5
1/01/16 1:52,1/01/16 1:59,1.2,1,8.3,7
1/01/16 1:52,1/01/16 2:24,7.5,3,28.8,32
1/01/16 1:53,1/01/16 2:08,2.68,1,16.62,15
1/01/16 1:53,1/01/16 2:00,1,1,7.8,7
1/01/16 1:53,1/01/16 2:07,5.4,2,21.95,14
1/01/16 1:53,1/01/16 2:12,7.3,1,27.95,19
1/01/16 1:54,1/01/16 2:08,3,1,17.25,14
1/01/16 1:54,1/01/16 2:01,1.24,1,7.8,7
1/01/16 1:54,1/01/16 2:07,5,1,19.3,13
1/01/16 1:54,1/01/16 2:05,2.4,1,11.8,11
1/01/16 1:54,1/01/16 2:14,4.09,1,18.3,20
1/01/16 1:55,1/01/16 2:12,2.27,1,16.56,17
1/01/16 1:55,1/01/16 2:04,1,3,8.8,9
1/01/16 1:55,1/01/16 2:11,3.99,1,16.8,16
1/01/16 1:56,1/01/16 2:10,3.3,3,16.3,14
